R01633	(3S,4R)-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase	3,4-Dihydroxybenzoate
R07713	(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate 	4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase	2-Carboxybenzaldehyde
R07713	(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate 	4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase	Pyruvate
r0734	(4R)-Limonene-1,2-epoxide	limonene-1,2-epoxide hydrolase	(1S,2S,4R)-Limonene-1,2-diol
r1185	(5R)-3-Hydroxymenthone	3-hydroxymenthone dehydrogenase	Mentha-1,3-dione
r1184	(5R)-Menth-2-enone	menth-2-enone hydratase	(5R)-3-Hydroxymenthone
R07839	(E)-4-Oxobut-1-ene-1,2,4-tricarboxylate	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	4-Carboxy-2-hydroxyhexa-2,4-dienedioate
r0332	(Hydroxymethylphenyl)succinyl-CoA	No enzyme supplied	Benzoyl-CoA
r0332	(Hydroxymethylphenyl)succinyl-CoA	3-hydroxyacyl-CoA dehydrogenase	Benzoylsuccinyl-CoA
R05575	(Hydroxymethylphenyl)succinyl-CoA	No enzyme supplied	Succinyl-CoA
r1176	(R)-1,2,3,4-Tetrahydronaphthol	(R)-(-)-1,2,3,4-tetrahydronaphthol dehydrogenase	1,2,3,4-Tetrahydronaphthalone
r0851	(R)-1,2-Epoxypropane	2-hydroxypropyl-CoM lyase	(R)-2-Hydroxypropyl-CoM
r0852	(R)-2-Hydroxypropyl-CoM	2-R-hydroxypropyl-CoM dehydrogenase	2-Oxopropyl-CoM
r0061	(R)-3-Chloro-1,2-epoxypropane	epoxide hydrolase B	(R)-3-Chloro-1,2-propanediol
r0062	(R)-3-Chloro-1,2-propanediol	halohydrin epoxidase B	(R)-3-Hydroxy-1,2-epoxypropane
r0063	(R)-3-Hydroxy-1,2-epoxypropane	epoxide hydrolase B	Glycerol
r0478	(R)-6-Hydroxynicotine	6-hydroxy-L-nicotine oxidase	6-Hydroxypseudooxynicotine
r0091	(R)-Mandelate	mandelate racemase	(S)-Mandelate
r0704	(RS)-3-Bromo-1,2-epoxypropane	epoxide hydrolase A	(RS)-3-Bromo-1,2-propanediol
r0705	(RS)-3-Bromo-1,2-propanediol	halohydrin epoxidase A	(RS)-3-Hydroxy-1,2-epoxypropane
r0057	(RS)-3-Chloro-1,2-epoxypropane	epoxide hydrolase A	(RS)-3-Chloro-1,2-propanediol
r0058	(RS)-3-Chloro-1,2-propanediol	halohydrin epoxidase A	(RS)-3-Hydroxy-1,2-epoxypropane
r0059	(RS)-3-Hydroxy-1,2-epoxypropane	epoxide hydrolase A	Glycerol
r0978	(RS)-Nicotine	nicotine dehydrogenase	(R)-6-Hydroxynicotine
r0979	(RS)-Nicotine	nicotine dehydrogenase	(S)-6-Hydroxynicotine
r0858	(S)-1,2-Epoxypropane	2-hydroxypropyl-CoM lyase	(S)-2-Hydroxypropyl-CoM
r0032	(S)-1-Phenylethanol	1-phenylethanol dehydrogenase	Acetophenone
R05426	(S)-1-Phenylethanol 	naphthalene 1,2-dioxygenase	Acetophenone
r0853	(S)-2-Hydroxypropyl-CoM	2-S-hydroxypropyl-CoM dehydrogenase	2-Oxopropyl-CoM
R01976	(S)-3-Hydroxybutanoyl-CoA	3-hydroxybutyryl-CoA dehydrogenase	Acetoacetyl-CoA
R03026	(S)-3-Hydroxybutanoyl-CoA	enoyl-CoA hydratase	Crotonoyl-CoA
R04161	(S)-4-Hydroxymandelate	mandelate racemase 	(R)-4-Hydroxymandelate
R04160	(S)-4-Hydroxymandelate 	(S)-mandelate dehydrogenase	4-Hydroxyphenylglyoxylate 
R06990	(S)-5-Oxo-2,5-dihydrofuran-2-acetate	muconolactone Delta-isomerase	2-Oxo-2,3-dihydrofuran-5-acetate
r0477	(S)-6-Hydroxynicotine	6-hydroxy-D-nicotine oxidase	6-Hydroxypseudooxynicotine
R03791	(S)-Mandelate	mandelate racemase	(R)-Mandelate
r1048	(S)-Mandelate	L-mandelate dehydrogenase	Benzoylformate
R07664	(S)-Mandelate 	(S)-mandelate dehydrogenase	alpha-Oxo-benzeneacetic acid
r1602	(Z)-2-(2-Hydroxyphenyl)ethenesulfinate	2'-hydroxybiphenyl-2-sulfinate desulfinase	o-Hydroxystyrene
r1604	(Z)-2-(2-Hydroxyphenyl)ethenesulfinate	(Z)-2-(2-hydroxyphenyl)ethenesulfinate oxidase	2-Hydroxyphenylacetaldehyde
r0325	(Z)-4-(2-Hydroxy-5-sulfonatophenyl)-2-oxo-3-butenoate	No enzyme supplied	5-Sulfosalicylate
r0325	(Z)-4-(2-Hydroxy-5-sulfonatophenyl)-2-oxo-3-butenoate	No enzyme supplied	Pyruvate
R07638	(Z)-Phenylacetaldehyde oxime	phenylacetaldoxime dehydratase	Phenylacetonitrile 
R06891	1-(4'-Hydroxyphenyl)ethanol 	1-(4'-hydroxyphenyl)ethanol dehydrogenase	4'-Hydroxyacetophenone 
R04522	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane	No Kegg enzyme supplied	1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethane
R05476	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane	DDT-dehydrochlorinase	1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene
R05492	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane 	DDT 2,3-dioxygenase	cis-2,3-Dihydrodiol 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane
r0439	1,1,1-Trichloro-2,2-bis-(4'-chlorophenyl)ethane (DDT)	DDT dehydrochlorinase	1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethylene (DDE)
r0512	1,1,1-Trichloro-2,2-bis-(4'-chlorophenyl)ethane (DDT)	DDT reductive dehalogenase	1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethane (DDD)
r0450	1,1,1-Trichloro-2,2-bis-(4'-chlorophenyl)ethane (DDT)	DDT 2,3-dioxygenase	cis-2,3-Dihydrodiol DDT
r1007	1,1,1-Trichloroethane	1,1,1-trichloroethane reductive dehalogenase	1,1-Dichloroethane
r1010	1,1,1-Trichloroethane	soluble methane monooxygenase	Trichloroethanol
r0350	1,1,2-Trichloroethylene	tetrachloroethene reductive dehalogenase	cis-1,2-Dichloroethene
